time,quote,title,author
01:00,"He didn’t know what was at the end of the chute. The opening was narrow (though large enough to take the canary). He dreamed that the chute opened onto vast garbage bins filled with old coffee filters, ravioli in tomato sauce and mangled genitalia. Huge worms, as big as the canary, armed with terrible beaks, would attack the body. Tear off the feet, rip out its intestines, burst the eyeballs. He woke up, trembling; it was only one o’clock. He swallowed three Xanax. So ended his first night of freedom.",Atomised,Michel Houellebecq
01:00,"The clock struck eleven. I looked at Adele, whose head leant against my shoulder; her eyes were waxing heavy, so I took her up in my arms and carried her off to bed. It was near one before the gentlemen and ladies sought their chambers.",Jane Eyre,Charlotte Bronte
01:00,"Last night of all, When yon same star that's westward from the pole Had made his course t'illume that part of heaven Where now it burns, Marcellus and myself, The bell then beating one -",Hamlet,William Shakespeare
01:00,I'm the only one awake in this house on this night before the day that will change all our lives. Though it's already that day: the little luminous hands on my alarm clock (which I haven't set) show just gone one in the morning,Tomorrow,Graham Swift
01:00,"The station was more crowded than he had expected to find it at - what was it? he looked up at the clock - one o'clock in the morning. What in the name of God was he doing on King's Cross station at one o'clock in the morning, with no cigarette and no home that he could reasonably expect to get into without being hacked to death by a homicidal bird?",The Long Dark Tea-time of the Soul,Douglas Adams
01:00,"[The Jossers are sleepless and thinking about their son] It was the thirtieth of May by now. One am on the thirtieth of May 1940. Quite a famous date on which to be lying awake and staring at the ceiling. Already in the creeks and tidal estuaries of England the pleasure-boats and paddle-steamers were casting their moorings for the day trip to Dunkirk. And, over on the other side, Ted stood as a good a chance as anyone else.",London Belongs to Me,Norman Collins
01:00,1.00 am. I felt the surrounding quietness suffocating me.,Sister,Rosamund Lupton
01:00,"I looked attentively at her, as she put that singular question to me. It was then nearly one o'clock. All I could discern distinctly by the moonlight was a colourless, youthful face, meagre and sharp to look at about the cheeks and chin; large, grave, wistfully attentive eyes; nervous, uncertain lips; and light hair of a pale, brownish-yellow hue.",The Woman in White,Wilkie Collins
01:06,"When he woke it was 1:06 by the digital clock on the bedside table. He lay there looking at the ceiling, the raw glare of the vaporlamp outside bathing the bedroom in a cold and bluish light. Like a winter moon.",No Country for Old Men,Cormac McCarthy
01:12,"It was 1:12 am when Father arrived at the police station. I did not see him until 1:28 am but I knew he was there because I could hear him. He was shouting, 'I want to see my son,' and 'Why the hell is he locked up?' and, 'Of course I'm bloody angry.'",The Curious Incident of the Dog in the Night-time,Mark Haddon
01:15,"The ghost that got into our house on the night of November 17, 1915, raised such a hullabaloo of misunderstandings that I am sorry I didn't just let it keep on walking, and go to bed. Its advent caused my mother to throw a shoe through a window of the house next door and ended up with my grandfather shooting a patrolman. I am sorry, therefore, as I have said, that I ever paid any attention to the footsteps. They began about a quarter past one o'clock in the morning, a rhythmic, quick-cadenced walking around the dining-room table. [super-embarrassing: just saw that my first thought (Brooke) was already mentioned in the comment section-- someone else's first thought]","My Life and Hard Times: ""The Night the Ghost Got In""",James Thurber
01:15,Lily Chen always prepared an 'evening' snack for her husband to consume on his return at 1.15am.,Sour Sweet,Timothy Mo
01:16,"At sixteen past one, they walked into the interview room.",Nothing Gold Can Stay,Dana Stabenow
01:17,"""The clocks stopped at 1:17. A long shear of light and then a series of low concussions."" It's the end of the world.....",The Road,Cormac McCarthy
01:17,"At that moment (it was seventeen minutes past one in the morning) Lieutenant Bronsfield was preparing to leave the watch and return to his cabin, when his attention was attracted by a distant hissing noise.",A voyage round the moon,Jules Verne
01:17,"The clocks stopped at 1:17. A long shear of light and then a series of low concussions. He got up and went to the window. What is it? she said. He didnt answer. He went into the bathroom and threw the lightswitch but the power was already gone. A dull rose glow in the windowglass. He dropped to one knee and raised the lever to stop the tub and then turned on both taps as far as they would go. She was standing in the doorway in her nightwear, clutching the jamb, cradling her belly in one hand. What is it? she said. What is happening?",The Road,Cormac McCarthy
01:20,"""Well!"" she said, looking like a minor female prophet about to curse the sins of the people. ""May I trespass on your valuable time long enough to ask what in the name of everything bloodsome you think you're playing at, young piefaced Bertie? It is now some twenty minutes past one o'clock in the morning, and not a spot of action on your part.""",Jeeves and the Feudal Spirit,P.G. Wodehouse
01:20,"Then it was 1.20 am, but I hadn't heard Father come upstairs to bed. I wondered if he was asleep downstairs or whether he was waiting to come in and kill me. So I got out my Swiss Army Knife and opened the saw blade so that I could defend myself.",The Curious Incident of the Dog in the Night-time,Mark Haddon
01:22,It was 1:22 when we found Dad's grave.,Extremely Loud and Incredibly Close,Jonathan Safran Foer
01:28,"It was 1:12 am when Father arrived at the police station. I did not see him until 1:28 am but I knew he was there because I could hear him. He was shouting, 'I want to see my son,' and 'Why the hell is he locked up?' and, 'Of course I'm bloody angry.'",The Curious Incident of the Dog in the Night-time,Mark Haddon
01:30,"""Half-past one, The street lamp sputtered, The street lamp muttered, The street lamp said, ""Regard that woman ...""",Rhapsody on a Windy Night,TS Eliot
01:30,"Around 1:30 A.M. the door opened and I thought it was Karla, but it was Bug, saying Karla and Laura had gone out for a stag night after they ran out of paint (p.290 in Flamingo paperback edition, 1996)",Microserfs,Douglas Coupland
01:30,"The late hour helped. It simplified things. It categorized the population. Innocent bystanders were mostly home in bed. I walked for half an hour, but nothing happened. Until one thirty in the morning. Until I looped around to 22nd and Broadway.",Gone Tomorrow,Lee Child
01:30,"The radio alarm clock glowed 1:30 a.m. Bad karaoke throbbed through walls. I was wide awake, straightjacketed by my sweaty sheets. A headache dug its thumbs into my temples. My gut pulsed with gamma interference: I lurched to the toilet.",Ghostwritten,David Mitchell
02:00,"When all had grown quiet and Fyodor Pavlovich went to bed at around two o'clock, Ivan Fyodorovich also went to bed with the firm resolve of falling quickly asleep, as he felt horribly exhausted.'",The Brothers Karamazov,Fyodor Dostoyevsky
02:00,"As two o'clock pealed from the cathedral bell, Jean Valjean awoke.",Les Miserables,Victor Hugo
02:00,"Lady Macbeth: Out, damned spot! out, I say!—One: two: why, then, 'tis time to do't.—Hell is murky!—Fie, my lord, fie! a soldier, and afeard? What need we fear who knows it, when none can call our power to account?—Yet who would have thought the old man to have had so much blood in him. Act V, Scene i [Yes, you have plenty of entries for 2:00 a.m.--but this is quintessential.]",Macbeth,Shakespeare
02:00,"""The middle of the night?"" Alec asked sharply.""Can you be more definite?"" ""About two. Just past"" Daisy noted that he expressed no concern for her safety.",Dead in the water,Carola Dunn
02:00,"Somewhere behind a screen a clock began wheezing, as though oppressed by something, as though someone were strangling it. After an unnaturally prolonged wheezing there followed a shrill, nasty, and as it were unexpectedly rapid, chime - as though someone were suddenly jumping forward. It struck two. I woke up, though I had indeed not been asleep but lying half-conscious.",Notes from the underground,Fyodor Dostoyevsky
02:00,"Get on plane at 2 A.M., amid bundles, chickens, gypsies, sit opposite pair of plump fortune tellers who groan and (very discreetly) throw up all the way to Tbilisi.","Bech: A Book, Appendix A, III",J. Updike
02:00,It's a minute or two to 2.02,,Oliver Hereford
02:02,"There was a young lady of Crewe Who wanted to catch the 2.02 Said a porter, ""Dont worry, Or hurry, or scurry It's a minute or two to 2.02""",,Oliver Hereford
02:05,"After a few moments he opened the front door, and slipped out, shutting it very gently behind him. Then he began ringing the bell. In about ten minutes his valet appeared, half dressed, and looking very drowsy. ‘I am sorry to have had to wake you up, Francis,’ he said, stepping in; ‘but I had forgotten my latch-key. What time is it?’ ‘Five minutes past two, sir,’ answered the man, looking at the clock and yawning. ‘Five minutes past two? How horribly late! You must wake me at nine to-morrow. I have some work to do.’ ‘All right, sir.’ ‘Did any one call this evening?’ ‘Mr. Hallward, sir. He stayed here till eleven, and then he went away to catch his train.’ ‘Oh! I am sorry I didn’t see him. Did he leave any message?’ ‘No, sir, except that he would write to you.’ ‘That will do, Francis. Don’t forget to call me at nine tomorrow.’ ‘No, sir.’ The man shambled down the passage in his slippers. Dorian Gray threw his hat and coat upon the yellow marble table, and passed into the library. He walked up and down the room for a quarter of an hour, biting his lip, and thinking. Then he took the Blue Book down from one of the shelves, and began to turn over the leaves. ‘Alan Campbell, 152, Hertford Street, Mayfair.’ Yes; that was the man he wanted.",The Picture of Dorian Gray,Oscar Wilde
02:07,"At 2:07 a.m. I decided that I wanted a drink of orange squash before I brushed my teeth and got into bed, so I went downstairs to the kitchen. Father was sitting on the sofa watching snooker on the television and drinking whisky. There were tears coming out of his eyes.",The Curious Incident of the Dog in the Night-time,Mark Haddon
02:07,But I couldn't sleep. And I got out of bed at 2.07 am and I felt scared of Mr. Shears so I went downstairs and out of the front door into Chapter Road.,The Curious Incident of the Dog in the Night-time,Mark Haddon
02:07,"Saturday, 17 November — 2.07 a.m. I cannot sleep. Ben is upstairs, back in bed, and I am writing this in the kitchen. He thinks I am drinking a cup of cocoa that he has just made for me. He thinks I will come back to bed soon. I will, but first I must write again.",Before I Go to Sleep,S. J. Watson
02:10,"After a few moments he drew back the latch and slipped out, shutting the door very gently behind him. Then he began ringing the bell. In about five minutes his valet appeared, half-dressed and looking very drowsy. I am sorry to have had to wake you up, Francis,"" he said, stepping in; ""but I had forgotten my latch-key. What time is it?"" ""Ten minutes past two, sir,"" answered the man, looking at the clock and blinking. ""Ten minutes past two? How horribly late! You must wake me at nine to-morrow. I have some work to do."" ""All right, sir."" ""Did any one call this evening?"" ""Mr. Hallward, sir. He stayed here till eleven, and then be went away to catch his train."" ""Oh! I am sorry I didn't see him. Did he leave any message?"" ""No, sir, except that he would write to you from Paris, if he did not find you at the club.""",The Picture of Dorian Gray,Oscar Wilde
02:15,"It did. When the alarm rang at two fifteen, Lew shut it off, snapped on the little bedside lamp, then swung his feet to the floor to sit on the edge of the bed, holding his eyes open.",The Night People,Jack Finney
02:17,"""What time is it now?"" He turned her very dusty alarm clock to check. ""Two-seventeen,"" he marveled. It was the strangest time he'd seen in his entire life. ""I apologize that the room is so messy,"" Lalitha said. ""I like it. I love how you are. Are you hungry? I'm a little hungry."" ""No, Walter."" She smiled. ""I'm not hungry. But I can get you something."" ""I was thinking, like, a glass of soy milk. Soy beverage.""",Freedom,Jonathan Franzen
02:20,"The night of his third walk Lew slept in his own apartment. When his eyes opened at two twenty, by the green hands of his alarm, he knew that this time he'd actually been waiting for it in his sleep.",The Night People,Jack Finney
02:21,"It was the urge to look up at the sky. But of course there was no sun nor moon nor stars overhead. Darkness hung heavy over me. Each breath I took, each wet footstep, everything wanted to slide like mud to the ground. I lifted my left hand and pressed on the light of my digital wristwatch. Two-twenty-one. It was midnight when we headed underground, so only a little over two hours had passed. We continued walking down, down the narrow trench, mouths clamped tight.",Hard Boiled Wonderland and the End of the World,Haruki Murakami
02:30,"""Get into the mood, Shirl!"" Lew said. ""The party's already started! Yippee! You dressed for a party, Harry?"" ""Yep. Something told me to put on dinner clothes when I went to bed tonight."" ""I'm in mufti myself: white gloves and matching tennis shoes. But I'm sorry to report that Jo is still in her Dr. Dentons. What're you wearing, Shirl?"" ""My old drum majorette's outfit. The one I wore to the State Finals. Listen, we can't tie up the phones like this."" ""Why not?"" said Harry. ""Who's going to call at 2:30 a.m. with a better idea? Yippee, to quote Lew, we're having a party! What're we serving, Lew?"" ""Beer, I guess. Haven't got any wine, have we, Jo?"" ""Just for cooking.""",The Night People,Jack Finney
02:30,"It is 2.30am and I am tight. As a tick, as a lord, as a newt. Must write this down before the sublime memories fade and blur.",Any Human Heart,William Boyd
02:30,"Inc, I tried to pull her off about 0230, and there was this fucking...sound",Infinite Jest,David Foster Wallace
02:30,At about half past two she had been woken by the creak of footsteps on the stair ...........Well what had she called,The Little Stranger,Sarah Waters
02:31,And then I woke up because there were people shouting in the flat and it was 2.31 am. And one of the people was Father and I was frightened.,The Curious Incident of the Dog in the Night-time,Mark Haddon
02:45,"0245h., Ennet House, the hours that are truly wee.",Infinite Jest,David Foster Wallace
02:46,"PISTOL RANGE, OCEAN NAS, VIRGINIA BEACH, VA 2:46 A.M. The chain drive whirred and the paper target slid down the darkened range, ducking in and out of shafts of yellow incandescent light. At the firing station, a figure waited in the shadows. As the target passed the twenty-five-foot mark, the man opened fire: eight shots-rapid, unhesitating. The target reached the firing station; the chain drive thunked and stopped. The range fell silent. Cholly Granger leaned into the light. Eight bullet holes punched a tight group through the belly of the target. He pulled the paper target down, balled it, threw it in the wastebasket. Then he removed the empty slide from his 9-mm automatic pistol, slipped in a loaded one, chambered a live round. He eased the hammer down and flicked the safety on. Then he snapped the overhead off and stood a moment in the pitch-black range, as though preparing his eyes-and his soul-for the darkness to come.",Patriots,Steve Sohmer
02:46,"Vicki shoved her glasses at her face and peered at the clock. Two forty-six. 'I don't have time for this' she muttered, sttling back against the pillows, heart still slamming against her ribs.",Blood Lines,Tanya Huff
02:55,"Then the silence was gently broken, their heads tilting as the first hint of sound touched their ears. Each step across the asphalt brought it clearer though it remained subdued: a quiet orchestral background to a softly tinkling piano. Her voice pleased with the coincidence, Jo said, ""'Tea for Two.' It was playing when I came down for milk tonight, and now the tape's come around again."" Harry said, ""Music. Playing here all by itself. In the godforsaken middle of the night. Some sort of symbolism here, Lew, if I was awake enough to figure it out."" ""It's the way the world will end, Harry. Recorded cocktail music nuclear-powered to play on for centuries after all life has been destroyed. Selections from 'No, No, Nanette,' throughout eternity. That do you for 2:55 a.m.?""",The Night People,Jack Finney
02:56,It was 2:56 when the shovel touched the coffin. We all heard the sound and looked at each other.,Extremely Loud and Incredibly Close,Jonathan Safran Foer
03:00,"What's the time?"" said the man, eyeing George up and down with evident suspicion; ""why, if you listen you will hear it strike."" George listened, and a neighbouring clock immediately obliged. ""But it's only gone three!"" said George in an injured tone, when it had finished.",Three Men in a Boat,Jerome K Jerome
03:00,It was three in the morning when his taxi stopped by giant mounds of snow outside his hotel. He had not eaten in hours.,Solar,Ian McEwan
03:00,"Roused from her sleep, Freya Gaines groped for the switch of the vidphone; groggily she found it and snapped it on. 'Lo,' she mumbled, wondering what time it was. She made out the luminous dial of the clock beside the bed. Three AM. Good grief.",The Game Players of Titan,Philip K Dick
03:00,"At three o' clock in the morning Eurydice is bound to come into it. After all, why did I sit here like a telegrapher at a lost outpost if not to receive messages from everywhere about the lost Eurydice who was never mine to begin with but whom I lamented and sought continually both professionally and amateurishly. This is not a digression. Where I am at three o' clock in the morning - and by now every hour is three o' clock in the morning - there are no digressions, it's all one thing.",The Medusa Frequency,Russell Hoban
03:00,"Schact clears his mouth and swallows mightily. 'Tavis can't even regrout tile in the locker room without calling a Community meeting or appointing a committee. The Regrouting Committee's been dragging along since may. Suddenly they're pulling secret 0300 milk-switches? It doesn't ring true, Jim.",Infinite Jest,David Foster Wallace
03:00,"Three in the morning, thought Charles Halloway, seated on the edge of his bed. Why did the train come at that hour? For, he thought, it’s a special hour. Women never wake then, do they? They sleep the sleep of babes and children. But men in middle age? They know that hour well. Oh God, midnight’s not bad, you wake and go back to sleep, one or two’s not bad, you toss but sleep again. Five or six in the morning, there’s hope, for dawn’s just under the horizon. But three, now, Christ, three A.M.! Doctors say the body’s at low tide then. The soul is out. The blood moves slow. You’re the nearest to dead you’ll ever be save dying. Sleep is a patch of death, but three in the morn, full wide-eyed staring, is living death! [...] Three A.M. That’s our reward. Three in the morn. The soul’s midnight. The tide goes out, the soul ebbs. And a train arrives at an hour of despair…. Why?",Something Wicked This Way Comes,Ray Bradbury
03:00,"""Three A.M. That's our reward. Three in the morn. The soul's midnight. The tide goes out, the soul ebbs. And train arrives at an hour of despair. . .why?""",Something Wicked This Way Comes,Ray Bradbury
03:00,In a real dark night of the soul it is always 3 o'clock in the morning.,The Crack-Up,F. Scott Fitzgerald
03:00,"But at three o’clock in the morning, a forgotten package has the same tragic importance as a death sentence, and the cure doesn’t work -- and in a real dark night of the soul it is always three o’clock in the morning, day after day.",The Crack-Up,F. Scott Fitzgerald
03:00,"According to her watch it was shortly after three o'clock, and according to everything else it was night-time.",The Long Dark Tea-time of the Soul,Douglas Adams
03:00,"""She died this morning, very early, about three o'clock.""",The Voyage Out,Virginia Woolf
03:00,"Few time references are as powerful as Housman’s Eight O’Clock: He stood, and heard the steeple Sprinkle the quarters on the morning town. One, two, three, four, to market-place and people It tossed them down. Strapped, noosed, nighing his hour, He stood and counted them and cursed his luck; And then the clock collected in the tower Its strength, and struck. Enough said.",Eight O'Clock,A.E. Housman
03:00,"Early mornings, my mother is about, drifting in her pale nightie, making herself a cup of tea in the kitchen. Water begins to boil in the kettle; it starts as a private, secluded sound, pure as rain, and grows to a steady, solipsistic bubbling. Not till she has had one cup of tea, so weak that it has a colour accidentally golden, can she begin her day. She is an insomniac. Her nights are wide-eyed and excited with worry. Even at three o'clock in the morning one might hear her eating a Bain Marie biscuit in the kitchen",Afternoon Raag,Amit Chaudhuri
03:00,"You hearken, Missy. It’s three o’clock in the morning and I’ve got all my faculties as well as ever I had in my life. I know all my property and where the money’s put out. And I’ve made everything ready to change my mind, and do as I like at the last. Do you hear, Missy? I’ve got my faculties.”",Middlemarch,George Eliot
03:00,At three am I was walking the floor and listening to Katchaturian working in a tractor factory. He called it a violin concerto. I called it a loose fan belt and the hell with it.,The Long Goodbye,Raymond Chandler
03:00,"When Sophie awoke, it was 3:00 a.m.",Desperate Characters,Paula Fox
03:00,"Few time references are as powerful as Housman’s Eight O’Clock: He stood, and heard the steeple Sprinkle the quarters on the morning town. One, two, three, four, to market-place and people It tossed them down. Strapped, noosed, nighing his hour, He stood and counted them and cursed his luck; And then the clock collected in the tower Its strength, and struck. Enough said.",Eight O'Clock,A.E. Housman
03:00,"It was six untroubled days later – the best days at the camp so far, lavish July light thickly spread everywhere, six masterpiece mountain midsummer days, one replicating the other – that someone stumbled jerkily, as if his ankles were in chains, to the Comanche cabin’s bathroom at three A.M.","Nemesis, p 219 hardback edn",Philip Roth
03:00,"Once I saw a figure I shall never forget. It was three o'clock at night, as I was going home from Blacky as usual; it was a short-cut for me, and there would be nobody in the street at this time of night, I thought, especially not in this frightful cold.",I'm Not Stiller,Max Frisch (omitted this in posting)
03:00,"Once I saw a figure I shall never forget. It was three o'clock at night, as I was going home from Blacky as usual; it was a short-cut for me, and there would be nobody in the street at this time of night, I thought, especially not in this frightful cold.","I'm Not Stiller, Third Notebook, p. 153 (Penguin Modern Classics ed, 1983",
03:00,"I slam the phone down but it misses the base. I hit the clock instead, which flashes 3 a.m.",Songs from the Other Side of the Wall,Dan Holloway
03:00,"But every morning, even if there's been a nighttime session and he has only slept two hours, he gets up at six and reads his paper while he drinks a strong cup of coffee. In this way Papa constructs himself every day.",The Elegance of the Hedgehog,Muriel Barbery
03:05,"On the Sunday before Christmas she awoke at 3:05 a.m. and though: Thirty-six hours. Four hours later she got up thinking: Thirty-two hours. Late in the day she took Alfred to the street-association Christmas party at Dale and Honey Driblett’s, sat him down safely with Kirby Root, and proceeded to remind all her neighbors that her favorite grandson, who’d been looking forward all year to a Christmas in St. Jude, was arriving tomorrow afternoon.",The Corrections,Jonathan Franzen
03:10,"I really don't care, you said. I don't care about any of it. Whoever finds them can have them. They can have all the money that's in the wallet. They're welcome to it. It's not as if there's that much left in either of the accounts anyway. Well, except for the one account. Actually, there's quite a lot in that account. Actually, maybe you could phone about that one. The goldcard one. Would you mind? But the other one I don't care about. Oh, God. And my credit card. I think my credit card was in there too. I wrote down the words credit card and said that if they wouldn't let me cancel them I'd demand that they registered the loss so you couldn't be charge for anything beyond the time of my calling them up. I looked at the clock. It was ten-past three.",The Whole Story and Other Stories,Ali Smith
03:10,Love again; wanking at ten past three,High Windows,Philip Larkin
03:15,"Above the door of Room 69 the clock ticked on at 3:15. The motion was accelerating. What had once been the gymnasium was now a small room, seven feet wide, a tight, almost perfect cube. The walls plunged inward, along colliding diagonals, only a few feet from their final focus...",Manhole 69 (short story),J.G. Ballard
03:17,"He turned to the monitors again and flicked through the screens, each one able to display eight different camera mountings, giving Kurt 192 different still lives of Green Oaks at 3.17 a.m. this March night",What Was Lost,Catherine O'Flynn
03:25,"""It was 3:25 a.m. A strange thrill, to think I was the only Mulvaney awake in the house.""",We Were the Mulvaneys,Joyce Carol Oates
03:30,"""Let's go to sleep,"" I say. ""Look at what time it is."" The clock radio is right there beside the bed. Anyone can see it says three-thirty.",Whoever was using this bed,Raymond Carver
03:30,At half past three a single bird,,Emily Dickinson
03:30,At half-past three A.M. he lost one illusion : officers sent to reconnoitre informed him that the enemy was making no movement.,Les Miserables,Victor Hugo
03:30,"It's 3:30 A.M. in Mrs. Ralph's finally quiet house when Garp decides to clean the kitchen, to kill the time until dawn. Familiar with a housewife's tasks, Garp fills the sink and starts to wash the dishes.",The World According to Garp,John Irving
03:30,"Now, look. I am not going to call Dr. McGrath at three thirty in the morning to ask if it's all right for my son to eat worms. That's flat.",How to Eat Fried Worms,Thomas Rockwell
03:40,"His bedside clock shows three forty. He has no idea what he's doing out of bed: he has no need to relieve himself, nor is he disturbed by a dream or some element of the day before, or even by the state of the world. It's as if, standing there in the darkness, he's materialized out of nothing, fully formed, unencumbered. He doesn't feel tired, despite the hour or his recent labours, nor is his conscience troubled by any recent case. In fact, he's alert and empty-headed and inexplicably elated. With no decision made, no motivation at all, he begins to move towards the nearest of the three bedroom windows and experiences such ease and lightness in his tread that he suspects at once he's dreaming or sleepwalking. If it is the case, he'll be disappointed. Dreams don't interest him; that this should be real is a richer possibility. And he's entirely himself, he is certain of it, and he knows that sleep is behind him: to know the difference between it and waking, to know the boundaries, is the essence of sanity.",Saturday,Ian McEwan
03:43,"""The clock says 3.43am. The thermometer says it's a chilly fourteen degrees Fahrenheit. The weatherman says the cold spell will last until Thursday, so bundle up and bundle up some more. There are icicles barring the window of the bat cave.""",Ghostwritten,David Mitchell
